index,models,steps,total_wall,total_cpu,mem_start_bytes,mem_end_bytes,mem_delta_bytes,wall_ground_list,cpu_ground_list,wall_solve_list,cpu_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,aspif_bytes_list,mem_grounding_mb_list,mem_solve_mb_list
1,0,11,240.095,239.867,25919488,654688256,599.64,14.490044;6.393364;8.309978;9.704098;11.629896;12.904052;14.485378;16.048114;17.547366;19.606956;20.871366;-1,14.479067;6.389463;8.305519;9.698444;11.617421;12.895709;14.46852;16.030453;17.529263;19.583585;20.853035;-1,0.751486;0.177301;0.307383;0.351328;0.379461;0.416924;0.432747;0.472592;0.480781;0.544174;0.542418;-1,0.751167;0.177054;0.306926;0.350975;0.379148;0.416191;0.431987;0.471622;0.479394;0.542933;0.539722;-1,400;400;400;400;400;400;400;400;400;400;400;-1,0;333869;584880;921677;1259618;1598021;1936428;2274839;2613254;2951673;3290096;-1,0;333848;424760;516417;609439;702918;796398;889879;983361;1076844;1170328;-1,0;3;3;3;3;3;3;3;3;3;3;-1,28;25;25;25;25;25;25;25;25;25;25;-1,28;28;28;28;28;28;28;28;28;28;28;-1,14326099;25099456;38576318;52060898;65562224;79055142;92556487;106057766;119698626;134218117;148911893;-1,84.28;128.59;164.71;212.65;263.82;313.88;386.75;429.04;491.64;536.7;597.33;-1,92.21;135.06;197.18;247.84;306.15;367.34;421.05;490.86;519.95;595.27;617.14;-1
2,0,9,181.784,181.57,500289536,985571328,462.8,12.801102;6.535709;8.158707;9.564115;11.320046;12.827908;14.324161;16.021949;17.386606;-1,12.791299;6.530171;8.150161;9.554401;11.308235;12.8177;14.306559;16.002335;17.365052;-1,0.62538;0.269916;0.408457;0.627167;0.914785;0.887723;1.069469;1.124622;1.32878;-1,0.624796;0.269054;0.407219;0.626254;0.913614;0.884562;1.065641;1.12096;1.324087;-1,375;375;375;375;375;375;375;375;375;-1,0;308290;841405;1453431;2066608;2762276;3457963;4153681;4849444;-1,0;308284;393467;479389;566698;654755;742814;830875;918938;-1,0;7;7;7;7;7;7;7;7;-1,7;0;0;0;0;0;0;0;0;-1,7;7;7;7;7;7;7;7;7;-1,13195227;32512980;54312894;76129253;100509646;124898376;149286895;173675554;198064172;-1,477.12;477.12;479.45;481.46;495.89;578.64;625.02;687.18;742.9;-1,477.12;477.12;479.45;495.64;578.39;619.61;686.15;741.35;819.17;-1
4,0,10,227.256,227.085,26075136,998764544,927.63,14.539033;7.283223;9.078507;10.641552;12.462523;14.223614;16.048362;17.669964;19.368517;21.251976;-1,14.528912;7.279204;9.0726;10.634576;12.453809;14.214544;16.03707;17.65511;19.356535;21.240373;-1,0.753496;0.239832;0.396267;0.595614;0.785847;0.840048;0.934974;0.936348;1.068034;1.054351;-1,0.753167;0.239426;0.395939;0.594651;0.784381;0.837096;0.931851;0.935566;1.066412;1.052156;-1,399;399;399;399;399;399;399;399;399;399;-1,0;335567;916061;1582368;2249968;3007138;3764308;4521478;5278648;6035818;-1,0;335552;427902;521058;615772;711304;806836;902368;997900;1093432;-1,0;7;7;7;7;7;7;7;7;7;-1,30;23;23;23;23;23;23;23;23;23;-1,30;30;30;30;30;30;30;30;30;30;-1,14408262;35437882;59178909;82920044;109454540;135989050;162523490;189066207;215854772;244565510;-1,84.7;147.51;189.05;241.12;328.91;427.52;547.38;645.21;735.47;859.83;-1,92.71;154.77;225.65;295.14;419.27;519.15;639.28;723.61;841.53;949.92;-1
5,1,4,49.597,49.562,666152960,702918656,35.06,12.89734;5.880942;7.582628;9.044474,12.888307;5.877785;7.575648;9.038609,0.65537;0.184579;0.343894;2.184536,0.655051;0.1842;0.343439;2.183157,377;377;377;377,0;309945;543814;856597,0;309942;394821;480440,0;3;3;3,9;6;6;6,9;9;9;9,13268934;23297440;35824351;48351217,635.29;635.34;635.34;635.6,635.34;635.34;635.6;670.36
8,0,7,167.395,167.238,25821184,1823993856,1714.87,13.837325;9.763807;10.843168;12.331975;14.743628;16.230013;18.130625;-1,13.825236;9.753254;10.833293;12.323188;14.732976;16.216948;18.111901;-1,0.694743;0.530742;0.522313;1.539915;2.810762;2.508666;4.531378;-1,0.693839;0.530002;0.521465;1.537921;2.802971;2.505796;4.521721;-1,390;390;390;390;390;390;390;-1,0;328637;2011246;3777896;5545697;7575876;9606965;-1,0;328638;419307;510709;603477;697696;792214;-1,0;3;3;3;3;3;3;-1,15;12;12;12;12;12;12;-1,15;15;15;15;15;15;15;-1,14096950;69236887;127022657;184808382;250777800;316763592;382765780;-1,83.25;211.46;258.79;321.17;542.98;808.79;1115.62;-1,89.49;214.03;292.09;488.6;789.71;1130.67;1378.89;-1
10,1,6,114.399,114.204,25976832,1251360768,1168.62,14.058803;10.114119;11.084822;12.821726;15.075664;17.200141,14.048673;10.105057;11.072929;12.808236;15.064746;17.09837,0.724504;0.539919;0.521999;1.830271;2.806729;6.337083,0.72376;0.538477;0.52098;1.827298;2.802262;6.327616,402;402;402;402;402;402,0;333361;2034039;3821702;5610651;7670952,0;333357;425903;519234;614076;710322,0;3;3;3;3;3,15;12;12;12;12;12,15;15;15;15;15;15,14301273;70063588;128561989;187076736;254037304;321030730,84.04;213.34;261.72;325.8;552.12;845.43,91.95;216.0;295.95;495.69;840.54;1193.39
12,1,4,50.401,50.358,25669632,299679744,261.32,13.118606;6.075462;7.76353;9.168144,13.108325;6.069921;7.756211;9.161798,0.660741;0.185474;0.319478;2.17288,0.660306;0.185263;0.319102;2.169791,378;378;378;378,0;314380;551595;868883,0;314378;400408;487246,0;1;1;1,7;6;6;6,7;7;7;7,13465953;23642237;36341685;49049246,80.45;123.74;157.23;202.64,87.93;129.28;189.54;285.8
13,1,4,55.433,55.377,200646656,380780544,171.79,14.023111;7.017575;8.770662;10.263779,14.009705;7.012801;8.761724;10.251541,0.728988;0.263551;0.416542;2.588831,0.728342;0.262976;0.415725;2.585947,394;394;394;394,0;332587;907326;1566681,0;332584;423721;515600,0;4;4;4,4;0;0;0,4;4;4;4,14277032;35085182;58564077;82050975,191.48;192.03;198.43;243.26,191.48;192.03;236.04;363.14
14,0,11,244.429,244.155,260825088,673587200,393.64,14.652611;6.520963;8.353998;9.798665;11.469995;13.210589;15.066852;16.599079;18.365511;20.082018;21.653941;-1,14.635254;6.513506;8.345022;9.788389;11.461676;13.200199;15.049752;16.582867;18.338623;20.054983;21.630858;-1,0.768512;0.20947;0.35314;0.369463;0.412159;0.445455;0.460593;0.499588;0.505666;0.570284;0.543537;-1,0.767283;0.208743;0.35223;0.36868;0.411302;0.444435;0.459819;0.498804;0.504689;0.568828;0.540661;-1,400;400;400;400;400;400;400;400;400;400;400;-1,0;341858;599765;944647;1290762;1637381;1984000;2330619;2677238;3023857;3370476;-1,0;341854;435093;529116;624615;720610;816605;912600;1008595;1104590;1200585;-1,0;1;1;1;1;1;1;1;1;1;1;-1,7;6;6;6;6;6;6;6;6;6;6;-1,7;7;7;7;7;7;7;7;7;7;7;-1,14686835;25755609;39560507;53373623;67203052;81032569;94862138;108691681;122749802;137621353;152666081;-1,249.23;249.49;249.49;257.74;291.51;326.29;401.43;436.24;500.43;548.8;616.94;-1,249.23;249.49;252.59;289.96;324.74;375.97;432.37;499.14;531.52;614.1;637.49;-1
15,0,11,237.822,237.599,522690560,717934592,186.2,13.338892;6.805971;8.538761;9.968316;11.460463;13.04658;14.649484;16.168833;17.81876;19.38474;20.898167;-1,13.324485;6.800743;8.530737;9.958074;11.451438;13.036826;14.637149;16.155964;17.804215;19.364699;20.878571;-1,0.697268;0.288813;0.459279;0.457478;0.492349;0.527171;0.546433;0.582999;0.585634;0.652657;0.650105;-1,0.69647;0.288257;0.458488;0.456713;0.491504;0.526279;0.545411;0.581526;0.583173;0.650819;0.649265;-1,387;387;387;387;387;387;387;387;387;387;387;-1,0;319501;870465;1503158;2136949;2771177;3405406;4039636;4673867;5308099;5942332;-1,0;319497;407095;495414;585045;675112;765179;855246;945313;1035380;1125447;-1,0;6;6;6;6;6;6;6;6;6;6;-1,6;0;0;0;0;0;0;0;0;0;0;-1,6;6;6;6;6;6;6;6;6;6;6;-1,13687071;33644689;56174599;78712704;101267055;123813200;146367635;168922134;191657032;216116382;240740771;-1,498.48;498.48;498.48;503.1;505.94;542.29;553.22;564.11;603.36;619.86;657.25;-1,498.48;498.48;503.1;504.65;542.29;553.22;564.11;603.36;619.08;656.73;683.39;-1
16,0,11,243.862,243.616,576839680,754532352,169.46,14.703682;6.413035;8.312533;9.828329;11.470691;13.179789;14.845925;16.520971;18.270274;19.81191;21.562499;-1,14.687762;6.4082;8.305834;9.818595;11.45939;13.166211;14.831464;16.503355;18.246741;19.790199;21.541298;-1,0.815986;0.246726;0.43043;0.445511;0.485655;0.520909;0.543033;0.577373;0.579351;0.631683;0.616473;-1,0.81487;0.246307;0.42958;0.444425;0.484893;0.52017;0.542123;0.575223;0.576812;0.630404;0.614871;-1,395;395;395;395;395;395;395;395;395;395;395;-1,0;337237;591653;931846;1273148;1614902;1956656;2298410;2640164;2981918;3323672;-1,0;337233;429273;522047;616151;710701;805251;899801;994351;1088901;1183451;-1,0;5;5;5;5;5;5;5;5;5;5;-1,11;6;6;6;6;6;6;6;6;6;6;-1,11;11;11;11;11;11;11;11;11;11;11;-1,14481158;25393961;39018135;52642299;66283001;79923692;93564366;107205023;121034053;135700875;150542364;-1,550.12;550.12;550.12;550.12;555.5;589.53;602.93;615.28;652.38;668.0;695.29;-1,550.12;550.12;550.12;554.47;589.53;601.12;614.51;652.38;668.0;695.29;719.58;-1
17,1,7,117.058,116.939,543617024,714768384,163.22,15.728688;6.725;8.626785;10.208912;12.021529;13.800754;15.545965,15.717326;6.718741;8.617979;10.200102;12.008788;13.784788;15.528046,0.896625;0.273066;0.476033;0.521234;0.574662;0.645326;3.686681,0.895645;0.272578;0.475307;0.520274;0.57329;0.643791;3.680967,407;407;407;407;407;407;407,0;351313;616358;970753;1326360;1682595;2039070,0;351311;447043;543536;641424;739782;838142,0;1;1;1;1;1;1,19;18;18;18;18;18;18,19;19;19;19;19;19;19,15104742;26485101;40675283;54873649;69088288;83327606;97583459,518.43;518.43;518.43;518.43;527.16;576.15;605.98,518.43;518.43;518.43;527.16;576.15;605.98;681.66
18,1,8,139.058,138.91,599003136,898658304,285.77,14.045116;6.985852;8.801361;10.232614;12.03712;13.581258;15.306658;17.032253,14.030471;6.977557;8.792579;10.223442;12.025552;13.566709;15.289518;17.017805,0.790243;0.380571;0.563578;0.804804;1.046318;1.109198;1.122882;4.411229,0.789199;0.379516;0.562686;0.803601;1.044734;1.107212;1.119597;4.403205,393;393;393;393;393;393;393;393,0;325689;888435;1534089;2181012;2914541;3648081;4381635,0;325683;414991;505090;596717;689153;781591;874029,0;6;6;6;6;6;6;6,6;0;0;0;0;0;0;0,6;6;6;6;6;6;6;6,13965425;34348176;57335833;80331682;106030696;131729905;157429034;183128275,571.25;571.26;571.26;571.26;572.95;644.37;710.89;753.8,571.26;571.26;571.26;572.95;644.37;710.89;753.8;857.03
19,0,9,196.76,196.558,544145408,714727424,162.68,15.8723;6.849397;8.847092;10.469337;12.262214;14.002432;15.726097;17.409003;19.26813;-1,15.856714;6.841369;8.837801;10.458258;12.248354;13.988277;15.710431;17.392517;19.245653;-1,0.927978;0.296255;0.504142;0.534191;0.600812;0.63756;0.611338;0.627475;0.636363;-1,0.926304;0.295614;0.503239;0.532986;0.599789;0.636226;0.610289;0.626272;0.635516;-1,409;409;409;409;409;409;409;409;409;-1,0;356058;624681;983841;1344174;1704999;2065862;2426749;2787664;-1,0;356054;453053;550810;649953;749562;849171;948780;1048389;-1,0;3;3;3;3;3;3;3;3;-1,9;6;6;6;6;6;6;6;6;-1,9;9;9;9;9;9;9;9;9;-1,15318406;26846293;41224867;55611638;70014772;84426225;98829318;113314677;128809886;-1,518.94;518.94;518.94;518.94;542.65;578.74;600.18;616.63;656.9;-1,518.94;518.94;518.94;542.65;578.74;600.18;616.63;655.61;681.62;-1
20,0,9,204.431,204.27,593346560,727605248,128.04,16.507216;7.156575;9.18555;10.922035;12.773954;14.672742;16.528593;18.297397;20.084501;-1,16.493525;7.145776;9.179671;10.914527;12.763783;14.661009;16.517125;18.28215;20.06817;-1,0.99028;0.320449;0.54654;0.55192;0.595771;0.628364;0.641525;0.630954;0.681034;-1,0.98948;0.320213;0.545893;0.551392;0.595358;0.627512;0.641089;0.630419;0.680495;-1,403;403;403;403;403;403;403;403;403;-1,0;346559;608006;957609;1308440;1659782;2011124;2362466;2713808;-1,0;346555;441035;536299;633035;730269;827503;924737;1021971;-1,0;3;3;3;3;3;3;3;3;-1,9;6;6;6;6;6;6;6;6;-1,9;9;9;9;9;9;9;9;9;-1,14891309;26115458;40108537;54109766;68135648;82153243;96170760;110188338;125248805;-1,565.86;565.86;565.86;565.86;565.86;600.91;612.71;624.46;677.71;-1,565.86;565.86;565.86;565.86;600.91;612.71;624.46;662.5;693.9;-1
21,0,9,211.61,211.418,544038912,711000064,159.23,16.188769;8.078166;10.106485;11.765291;13.598638;15.536619;17.36482;19.197213;19.94352;-1,16.173487;8.070416;10.099884;11.754435;13.588223;15.502651;17.353177;19.17973;19.927455;-1,0.980899;0.453771;0.683015;0.701099;0.683896;0.760204;0.739338;0.764083;0.762396;-1,0.98011;0.453142;0.682108;0.700452;0.683103;0.759394;0.737334;0.762445;0.761561;-1,402;402;402;402;402;402;402;402;402;-1,0;339581;926449;1599684;2274036;2948842;3623661;4298487;4973316;-1,0;339570;432566;526298;621367;716888;812423;907964;1003507;-1,0;9;9;9;9;9;9;9;9;-1,9;0;0;0;0;0;0;0;0;-1,9;9;9;9;9;9;9;9;9;-1,14588514;35839420;59818158;83797006;107792146;131787318;155790643;179785772;204231549;-1,518.84;518.84;518.84;518.84;541.5;575.79;605.45;622.37;661.12;-1,518.84;518.84;518.84;541.5;575.79;596.17;621.08;659.84;676.77;-1
22,1,6,98.586,98.513,595472384,654807040,56.59,15.714454;6.99047;9.00931;10.652182;12.500177;14.299066,15.703642;6.984928;9.002566;10.644156;12.491276;14.288197,0.933224;0.321985;0.563457;0.54923;0.693195;3.465278,0.932631;0.321661;0.563095;0.548865;0.692395;3.46224,392;392;392;392;392;392,0;333164;584103;920258;1257636;1595514,0;333160;424000;515617;608696;702265,0;6;6;6;6;6,6;0;0;0;0;0,6;6;6;6;6;6,14293394;25066442;38518659;51979049;65455823;78932369,567.89;567.89;567.89;567.89;567.89;601.65,567.89;567.89;567.89;567.89;601.65;624.47
23,1,6,107.225,107.139,544215040,849625088,291.26,15.637522;7.917001;10.182194;11.847787;13.173581;15.43817,15.624487;7.907884;10.173169;11.838095;13.164496;15.428178,0.952965;0.802851;1.130375;1.372139;1.296512;4.7244,0.95216;0.802189;1.129639;1.37101;1.293325;4.720096,400;400;400;400;400;400,0;335044;911697;1665567;2420567;3176028,0;335040;426894;519806;614068;708778,0;6;6;6;6;6,6;0;0;0;0;0,6;6;6;6;6;6,14375207;35273558;61717670;88170040;114638677;141107359,519.0;519.0;519.0;570.04;628.49;681.49,519.0;519.0;570.04;628.49;681.49;810.27
25,0,6,152.018,150.473,25706496,1438998528,1347.82,14.957011;10.334571;11.946503;13.689556;16.934614;19.20696;-1,14.94298;10.327563;11.919286;13.680473;16.608282;18.633022;-1,0.794709;0.526632;0.565314;1.708274;2.958257;4.044234;-1,0.79421;0.526134;0.564717;1.706611;2.941211;4.022567;-1,392;392;392;392;392;392;-1,0;328055;2010569;3776532;5543603;7572670;-1,0;328054;418657;509982;602645;696634;-1,0;1;1;1;1;1;-1,11;10;10;10;10;10;-1,11;11;11;11;11;11;-1,14071815;69203449;126964686;184725911;250654320;316590849;-1,83.25;211.28;258.68;321.06;542.31;807.23;-1,89.47;213.83;291.67;489.2;787.38;1137.25;-1
