index,t_solve_python,mem_start_bytes,mem_solve_bytes,ground_file_bytes,rules,t_solve,t_ground,t_parse,atoms,variables,sccs
1,0.008,21110784,21254144,5738,290,0s,0s,0s,112,84,1
2,0.008,21278720,21278720,5991,308,0s,0.003s,0s,112,84,1
3,0.008,21282816,21282816,5876,300,0s,0s,0s,112,84,1
4,0.008,21286912,21286912,5859,298,0.001s,0.001s,0s,112,84,1
5,0.008,21291008,21295104,6080,314,0s,0s,0s,112,84,1
6,0.009,21295104,21295104,12397,572,0s,0.005s,0s,222,164,1
7,0.009,21299200,21299200,12599,586,0s,0.003s,0s,222,164,1
8,0.009,21299200,21299200,13065,612,0s,0.004s,0s,222,164,1
9,0.009,21299200,21299200,13197,622,0s,0s,0.005s,222,164,1
10,0.009,21303296,21303296,13029,610,0.001s,0.002s,0s,222,164,1
11,0.011,21307392,21307392,32218,1456,0.001s,0.003s,0.001s,552,404,1
12,0.011,21327872,21331968,32927,1502,0s,0.002s,0s,551,404,1
13,0.011,21368832,21368832,32303,1460,0s,0.005s,0s,552,404,1
14,0.011,21368832,21368832,33339,1530,0s,0.004s,0s,550,404,1
15,0.011,21389312,21389312,32744,1490,0s,0.003s,0s,552,404,1
16,0.014,21389312,21389312,67068,3006,0s,0.008s,0s,1100,804,1
17,0.014,21598208,21598208,66538,2972,0s,0.003s,0.005s,1100,804,1
18,0.014,21598208,21598208,65637,2914,0.005s,0.003s,0s,1102,804,1
19,0.014,21598208,21602304,66165,2950,0.002s,0.005s,0.001s,1100,804,1
20,0.014,21606400,21606400,64648,2852,0.005s,0.003s,0s,1101,804,1
-1,0.008,21135360,21291008,2828,118,0s,0.005s,0s,91,90,
-2,0.008,21311488,21311488,2828,118,0s,0.001s,0s,91,90,
-3,0.007,21311488,21315584,2828,118,0s,0s,0s,91,90,
-4,0.008,21319680,21319680,2828,118,0s,0.001s,0s,91,90,
-5,0.008,21323776,21327872,2828,118,0s,0.003s,0s,91,90,
-6,0.008,21327872,21327872,6190,238,0s,0s,0s,181,180,
-7,0.009,21344256,21344256,6176,238,0s,0.004s,0s,181,180,
-8,0.008,21344256,21344256,6204,238,0s,0.003s,0s,181,180,
-9,0.008,21344256,21344256,6190,238,0s,0.003s,0s,181,180,
-10,0.009,21348352,21348352,6202,238,0s,0s,0s,181,180,
-11,0.01,21352448,21352448,16068,598,0s,0.003s,0.001s,451,450,
-12,0.01,21393408,21397504,16068,598,0s,0.003s,0.001s,451,450,
-13,0.01,21397504,21397504,16082,598,0.002s,0.002s,0.004s,451,450,
-14,0.01,21479424,21483520,16062,598,0s,0.004s,0s,451,450,
-15,0.01,21487616,21487616,16056,598,0s,0.005s,0s,451,450,
-16,0.012,21499904,21499904,32517,1198,0s,0.003s,0.002s,901,900,
-17,0.012,21557248,21557248,32527,1198,0.001s,0.008s,0s,901,900,
-18,0.012,21557248,21561344,32505,1198,0.001s,0.006s,0s,901,900,
-19,0.013,21561344,21561344,32511,1198,0s,0.005s,0s,901,900,
-20,0.013,21565440,21565440,32527,1198,0.005s,0.002s,0s,901,900,
