index,herbrand,rules,atoms,t_ground,t_solve,ground_file_size_bytes,mem_start_bytes,mem_ground_bytes,mem_solve_bytes,models,rel_facts,rel_nonfacts,rel_total
1,11,290,110,0.003,0.003,4355,24817664,25288704,25944064,1,0,0,0
2,11,308,110,0.002,0.002,4357,26021888,26058752,26259456,1,0,0,0
3,11,300,110,0.002,0.002,4357,26173440,26189824,26337280,1,0,0,0
4,11,298,110,0.002,0.002,4356,26198016,26218496,26374144,1,0,0,0
5,11,314,110,0.002,0.002,4357,26275840,26292224,26357760,1,0,0,0
6,21,572,220,0.004,0.003,12963,26435584,26435584,26546176,1,0,0,0
7,21,586,220,0.004,0.003,12969,26349568,26370048,26648576,1,0,0,0
8,21,612,220,0.004,0.004,12977,26468352,26484736,26644480,1,0,0,0
9,21,622,220,0.004,0.002,12981,26484736,26525696,26710016,1,0,0,0
10,21,610,220,0.004,0.003,12976,26587136,26607616,26820608,1,0,0,0
11,51,1456,550,0.01,0.004,38811,26578944,26673152,27418624,1,0,0,0
12,51,1502,550,0.01,0.005,38821,26955776,27062272,27570176,1,0,0,0
13,51,1460,550,0.01,0.004,38811,27144192,27250688,27607040,1,0,0,0
14,51,1530,550,0.01,0.004,38825,27086848,27152384,27574272,1,0,0,0
15,51,1490,550,0.01,0.005,38819,27123712,27250688,27840512,1,0,0,0
16,101,3006,1100,0.019,0.007,81892,27361280,27627520,28655616,1,0,0,0
17,101,2972,1100,0.019,0.007,77589,27422720,27754496,28901376,1,0,0,0
18,101,2914,1100,0.019,0.007,77578,27836416,28176384,29143040,1,0,0,0
19,101,2950,1100,0.019,0.007,77586,28094464,28307456,29405184,1,0,0,0
20,101,2852,1100,0.019,0.007,77562,28340224,28569600,29757440,1,0,0,0
-1,11,118,98,0.002,0.002,0,24985600,25493504,25935872,1,9,0,9
-2,11,118,98,0.002,0.002,0,26230784,26230784,26230784,1,9,0,9
-3,11,118,98,0.002,0.002,0,26263552,26263552,26263552,1,9,0,9
-4,11,118,98,0.002,0.003,0,26337280,26337280,26345472,1,9,0,9
-5,11,118,98,0.002,0.002,0,26345472,26345472,26345472,1,9,0,9
-6,21,238,198,0.003,0.003,4350,26365952,26365952,26365952,1,19,0,19
-7,21,238,198,0.003,0.002,4350,26501120,26501120,26501120,1,19,0,19
-8,21,238,198,0.003,0.003,4350,26505216,26505216,26505216,1,19,0,19
-9,21,238,198,0.003,0.002,4350,26542080,26542080,26542080,1,19,0,19
-10,21,238,198,0.003,0.003,4350,26542080,26546176,26546176,1,19,0,19
-11,51,598,498,0.007,0.004,17279,26550272,26550272,26611712,1,49,0,49
-12,51,598,498,0.007,0.004,17279,26664960,26664960,26726400,1,49,0,49
-13,51,598,498,0.007,0.004,17278,26783744,26783744,26783744,1,49,0,49
-14,51,598,498,0.007,0.004,17279,26492928,26554368,26726400,1,49,0,49
-15,51,598,498,0.007,0.004,17279,26595328,26656768,26714112,1,49,0,49
-16,101,1198,998,0.014,0.007,38834,26755072,26853376,27062272,1,99,0,99
-17,101,1198,998,0.014,0.007,38833,26828800,26947584,27009024,1,99,0,99
-18,101,1198,998,0.014,0.007,38834,26787840,26968064,27176960,1,99,0,99
-19,101,1198,998,0.014,0.007,38834,26873856,27054080,27172864,1,99,0,99
-20,101,1198,998,0.014,0.006,38834,26955776,27123712,27353088,1,99,0,99
