index,consts_size,rules,atoms,t_ground,t_solve,ground_file_size_bytes,mem_start_bytes,mem_ground_bytes,mem_solve_bytes,models,rel_facts,rel_nonfacts,rel_total
1,201,1102010,27424,1.536,0.215,25971609,25219072,50868224,60510208,1,0,0,0
2,201,4940355,57829,6.842,1.149,115143688,31145984,113180672,131723264,1,0,0,0
3,201,583361,20023,0.95,0.137,13653232,35504128,47968256,51077120,1,0,0,0
4,201,287129,14161,0.511,0.082,6645893,36462592,43294720,49328128,1,0,0,0
5,201,223564,12472,0.424,0.065,5142825,36724736,42086400,47022080,1,0,0,0
6,201,611726,20506,1.04,0.158,14325019,36724736,48910336,57892864,1,0,0,0
7,201,3058426,45556,4.563,0.701,71531574,39043072,84852736,105000960,1,0,0,0
8,201,1413827,31027,2.265,0.307,33323990,38871040,63852544,78635008,1,0,0,0
9,201,98670,8338,0.192,0.031,2281959,39211008,40980480,43937792,1,0,0,0
10,201,868370,24460,1.383,0.207,20422406,39219200,54349824,67325952,1,0,0,0
11,401,8555786,107702,12.847,2.181,201503159,39698432,173514752,262168576,1,0,0,0
12,401,38901427,229319,67.383,15.291,966919606,53829632,556679168,817643520,1,0,0,0
13,401,4472416,78098,9.989,1.558,104959742,66256896,142684160,192552960,1,0,0,0
14,401,2186439,54653,3.757,0.501,51745108,72183808,107859968,139636736,1,0,0,0
15,401,1676472,47894,2.503,0.38,39833367,69791744,97091584,125771776,1,0,0,0
16,401,4703622,80024,6.936,1.089,110329260,72159232,147980288,204922880,1,0,0,0
17,401,24022507,180233,36.862,7.656,589589891,71766016,438947840,590610432,1,0,0,0
18,401,10965866,122108,16.914,2.874,261472348,71233536,242675712,344436736,1,0,0,0
19,401,707814,31352,1.118,0.174,17106617,70684672,81014784,96997376,1,0,0,0
20,401,6749692,95840,10.398,1.596,157815656,71200768,168562688,381194240,1,0,0,0
21,601,28528492,240834,46.355,9.724,712977360,72511488,475316224,714481664,1,0,0,0
22,601,130525685,514467,271.689,95.534,3277394616,90189824,1696727040,3395981312,1,0,0,0
23,601,14912675,174225,31.66,5.45,366884130,126590976,347308032,796606464,1,0,0,0
24,601,7223052,121470,16.295,2.507,173256947,124084224,234532864,469569536,1,0,0,0
25,601,5511709,106263,12.32,1.771,130607350,449060864,454971392,473980928,1,0,0,0
26,601,15643016,178554,35.47,6.829,385395225,457064448,472784896,844025856,1,0,0,0
27,601,80541317,404025,144.736,42.317,2024697834,806367232,1337012224,2499387392,1,0,0,0
28,601,36782687,273243,61.44,13.233,923676016,1148919808,1174859776,1306554368,1,0,0,0
29,601,2313032,69042,4.093,0.751,55056467,1108221952,1111785472,1119780864,1,0,0,0
30,601,22592645,214143,48.227,8.914,561758317,1107746816,1125683200,1163972608,1,0,0,0
31,801,67328909,426817,158.628,37.802,1695063696,1106276352,1140289536,2180120576,1,0,0,0
32,801,308730540,913276,739.966,264.305,7743748483,1221582848,3797168128,1049174016,1,0,0,0
33,801,35174899,308401,80.314,18.848,887889359,178978816,651464704,1700003840,1,0,0,0
34,801,16927103,214615,38.706,7.789,422465240,1611595776,1630314496,1676505088,1,0,0,0
35,801,12918749,187579,29.126,5.632,320466066,1625821184,1642958848,1674465280,1,0,0,0
36,801,36854257,316099,84.004,19.552,930090002,1633734656,1663528960,1811247104,1,0,0,0
37,801,190234848,716938,445.786,151.306,4775850250,1728835584,2674765824,5363978240,1,0,0,0
38,801,86673730,484432,198.51,56.463,2180300099,2609127424,2650259456,2882961408,1,0,0,0
39,801,5386498,121408,12.26,1.829,130046759,2579791872,2586140672,2601644032,1,0,0,0
40,801,53119292,379366,121.219,31.396,1338491553,2581241856,2614071296,2683756544,1,0,0,0
